		Austrian Newspapers Online (ANNO)	Ancestry	British Newspaper Archives	California Digital Newspaper Collection (CDNC)	Chronicling America	Colorado Historical Newspaper Collection (CHNC)	Delpher	DigiPress	DIFMOE	E-luxemburgensia	E-newspaperarchives	The European Library (TEL)	L'Express	Gallica	Georgia Historic Newspapers	Libraria - Ukrainian online periodicals archive	New York Times	POLONA	Retronews	Scriptorium	StaBi	Tessmann	Le Temps archives	Trove
interface	URL	http://anno.onb.ac.at/	https://www.newspapers.com/	https://www.britishnewspaperarchive.co.uk/	https://cdnc.ucr.edu/cgi-bin/cdnc	http://chroniclingamerica.loc.gov	https://www.coloradohistoricnewspapers.org/	https://www.delpher.nl/nl/kranten/ 	https://digipress.digitale-sammlungen.de/	https://www.difmoe.eu/d/	http://www.eluxemburgensia.lu/	https://www.e-newspaperarchives.ch/?l=en	https://www.europeana.eu/portal/en/collections/newspapers#	http://www.lexpressarchives.ch/Olive/APA/SwissSNP_Fr/default.aspx#panel=home	http://gallica.bnf.fr/html/und/presse-et-revues/presse-et-revues	https://gahistoricnewspapers.galileo.usg.edu/	https://libraria.ua/en/	https://timesmachine.nytimes.com/browser 	https://polona.pl/	http://www.retronews.fr/	https://scriptorium.bcu-lausanne.ch/	http://zefys.staatsbibliothek-berlin.de/	http://digital.tessmann.it	https://www.letempsarchives.ch/	http://trove.nla.gov.au/newspaper/?q=
interface	Target area	Austria (and former AH empire)	US, UK, AUS, CAN	British isles	California, US	United States	Colorado, US	Netherland and its former colonies	Bavaria, Germany	East and Central Europe	Luxembourg	Switzerland	Europe	Neuchâtel, Switzerland	France and its former colonies	Georgia, US	Ukraine	NY Times 	Poland	France	Vaud, Switzerland	Germany	Tyrol (Italy)	Vaud, Switzerland	Australia
interface	Creator	National library of Austria	Ancestry.com	British Library	California State Library, National Endowment for the Humanities	Library of Congress	Colorado State Library, History Colorado, Collaborative Digitization Program	Royal Dutch Library	National Library of Bavaria (BSB)	international cooperation, lead by Germany  (Institute for cooperation with East and Central Europe-KOMIOS)	National Library of Luxembourg	Swiss National Library and its cantonal partners	Europeana Newspapers	Société Neuchâteloise de Presse	National Library of France	Digital Library of Georgia (DLG)	Archival Information System	New York Times 	Polish public libraries	BnF Partenariats	Bibliothèque Cantonale et Universitaire de Lausanne	Berlin State Library	Provincial library of Bozen	Le Temps, Swiss National Library, EPFL	National Library of Australia
interface	Purpose and scope	Collection of historical newspaper and journals of Austria	Collection of EN-speaking newspapers, primary audience appears to be US-based	collection of British newspapers	To digitize California newspapers for the National Digital Newspaper Program. Titles digitized as part of the NDNP are available both here and at the Library of Congress Chronicling America website.	Collection of selected American newspapers digitized by the Library of Congress and co-sponsored by the NEH.	The long-term goal for CHNC is to provide access to all newspapers published in Colorado between 1859 and 1922, the time period for which publications are in the public domain and without copyright restrictions.	Access to digitized texts incl. books, journals, radio bulletins	since 1997, the BSB has been digitising its collections, not only newspapers and seems to be doing it inhouse: https://www.digitale-sammlungen.de/index.html?c=digitalisierung&l=de	gather digitised materials, not only newspapers, published by minorities in East and Central Europe, including the German speaking minorities	digitized collections of the National Library of Luxembourg	Setting up a central presentation and access infrastructure for digitized Swiss press	Explore four centuries of history in 4,194,992 newspaper records from across Europe.     	Company giving access to the collections of the following newspapers: Feuille d’avis de Neuchâtel / FAN / L’Express (de 1738 à 2018) L’Impartial (de 1881 à 2018)	give access to all digitised objects, that are free for use, from the BNF, including the press	Georgia Newspapers - Sharing Georgia's history and culture online.	"The goal of the project is to digitize and provide online access to the largest array of Ukrainian historical periodicals."	Access to NYT archives	give access to the digitised objects of the libraries from all across Poland	"Explorer le passé pour mieux lire le présent". Preservation, valorisation. For researchers, students, professors, journalists, curious. Project still alive, with an editorial team and a thoughtful communication and valorisation strategy. Engagement with the public. Business model: "freemium" un espace digital de consultation d’archives, un outil de recherche et un magazine pour tous donnant à découvrir l’histoire par les archives de presse.	Scriptorium met à disposition du public des collections importantes de documents papier patrimoniaux vaudois.	digitized collection of the Berliner City Library, with a wide range of newspapers' types: foreign/german, local/national state/private	Collection from various cultural institutions in the Alpine region of Italy	Proposer les collections numérisées des trois prestigieux quotidiens dont Le Temps est l’héritier.	-
interface	Approximate date of creation	2003	u	u	2008	u	ca 2005	ongoing	ca 2016	u	u	2018	2018	2013	1997	2007	2012	u	u	2016	2012	u	u	2016	2007
interface	Interface is multilingual	n	n	n	n	n	n	n	n 	n 	y	y	y	n	y	n	y	n	y	n	y	n	y	n	n
interface	Access model (free, paywall, etc.?)	free	paywall	paywall	free, with limitations	free	free	free	free	free	free	free	free	free	free	free	onsite	paywell	free, with limitations	freemium	free	free, with limitations	free	free	free
interface	Interface provider	Public institutions	Private	Private (Findmypast)	Private (Veridian)	u	Private (Veridian)	Public institutions	Public institutions	u	Public institutions	Private (Veridian)	Europeana	Public institutions	Public institutions	Non profit organisation	Non profit organisation	Private	Public institutions	Private	Public institutions	Public institutions	Private (Alpin)	Mixed	Public institutions
newspaper collection	Newspaper date range	1568-1948	1729-2019	1850-1999	1846-present	1789-1963	1859-1923	1618-1995	1609-1933	1762-1945	1841-2017	1705-2016	1618-1996	1738-2018	17th century -21st century	1786-1986	1917-1945	1851- 2002	- 	1631-1950	1762-2003 (?)	1617-1946	1794-2016	1798-1998	1803-2011
newspaper collection	Number of newspaper titles	1000+	11,8	u	149	2900	335+	u	1056	83	71	107	ca 2200	3	u	456	438	1	544	400+	u	193	54	3	ca 1400
newspaper collection	Number of issues	u	u	u	359,047	u	u	3,500,000	1,065,758	u	u	402,95	u	u	2,921,622	u	69,511	u	1,045,074 	u	u	282	u	u	u
newspaper collection	Number of pages	21,000,000	492,000,000	32,000,000	4,410,100	14,949,638	1,400,000	11,000,000	6,544,988	u	u	3,849,029	u	u	u	u	411,243	u	u	u	u	u	u	1,000,000	24,000,000
newspaper collection	Number of articles	u	u	u	25,778,098	u	u	u	u	u	u	31,196,780	u	u	u	u	u	13.000.000	u	u	u	u	u	3,700,000	u
newspaper collection	Indication of the original issue that was digitised	n	u	n	n	n	u	y	n	y	y (link to the library notice)	n	u	u	y	?	?	?	y	n	y	u	y	n	?
newspaper collection	New titles continuously added	y	y	y	y	y	y	y	y	y	y  	y	y	n 	y	y	y	y	y	y	y	u	y	n	y
newspaper collection	Languages of the collections	multilingual	en	en	en	multilingual	en	nl	multilingual	multilingual	multilingual	multilingual	multilingual	fr	multilingual	en	multilingual	en	multilingual	fr	fr	de	multilingual	fr	en
newspaper metadata	Alternative titles, succeeding titles, related titles	y	n	y	y	y	n	n	y	u	y	y	n	n	y	y	n	n	y	y	n	y	y	n	y
